CO2,Temperature,Humidity,PM1.0,PM2.5,PM4.0,PM10,eCO2,TVOC,Temp_MA_24h,Temp_MA_7d,CO2_MA_24h,CO2_MA_7d
486,26,54,12.0,15.0,26.0,33.0,492,183,24.47222222222222,24.364583333333332,701.4722222222222,709.4479166666666
791,26,43,5.0,15.0,20.0,34.0,643,167,24.5,24.373056994818654,700.9513888888889,709.8704663212435
453,24,65,13.0,19.0,20.0,26.0,762,31,24.506944444444443,24.371134020618555,701.2152777777778,708.5463917525773
831,20,67,9.0,22.0,22.0,29.0,1334,199,24.5,24.348717948717947,703.7638888888889,709.1743589743589
844,24,67,11.0,18.0,23.0,25.0,682,289,24.48611111111111,24.346938775510203,705.4861111111111,709.8622448979592
690,22,38,10.0,22.0,22.0,27.0,1457,433,24.444444444444443,24.33502538071066,707.3263888888889,709.7614213197969
500,26,57,13.0,22.0,21.0,25.0,457,486,24.46527777777778,24.343434343434343,705.4722222222222,708.7020202020202
851,25,58,7.0,17.0,29.0,34.0,1372,437,24.48611111111111,24.34673366834171,705.3333333333334,709.4170854271357
629,27,42,8.0,17.0,25.0,32.0,1294,33,24.506944444444443,24.36,704.9652777777778,709.015
566,25,45,14.0,16.0,26.0,34.0,931,363,24.52777777777778,24.36318407960199,705.9652777777778,708.3034825870647
631,26,40,12.0,22.0,21.0,28.0,994,234,24.54861111111111,24.371287128712872,706.6944444444445,707.9207920792079
479,28,47,10.0,15.0,28.0,33.0,1290,189,24.555555555555557,24.389162561576356,705.3055555555555,706.7931034482758
975,25,51,8.0,22.0,27.0,32.0,1432,181,24.5625,24.392156862745097,706.6527777777778,708.1078431372549
487,29,33,9.0,20.0,27.0,32.0,1435,490,24.625,24.414634146341463,704.7847222222222,707.0292682926829
816,23,32,10.0,24.0,23.0,33.0,1337,402,24.625,24.40776699029126,706.5972222222222,707.5582524271845
724,27,49,8.0,22.0,24.0,26.0,842,298,24.631944444444443,24.420289855072465,706.6736111111111,707.6376811594203
588,25,51,8.0,16.0,29.0,34.0,1319,324,24.618055555555557,24.423076923076923,703.8472222222222,707.0625
900,20,39,12.0,16.0,26.0,33.0,1098,196,24.5625,24.401913875598087,706.1666666666666,707.9856459330143
606,23,44,14.0,17.0,29.0,34.0,1228,178,24.583333333333332,24.395238095238096,705.5972222222222,707.5
545,26,56,14.0,19.0,26.0,25.0,544,383,24.61111111111111,24.402843601895736,703.7013888888889,706.7298578199052
567,26,31,14.0,16.0,24.0,32.0,660,190,24.604166666666668,24.410377358490567,702.9236111111111,706.0707547169811
563,20,55,12.0,19.0,21.0,32.0,589,334,24.54861111111111,24.389671361502348,703.4513888888889,705.3990610328639
865,23,68,8.0,20.0,22.0,31.0,1422,210,24.51388888888889,24.38317757009346,704.9930555555555,706.1448598130842
858,20,43,7.0,23.0,20.0,30.0,1191,409,24.493055555555557,24.36279069767442,705.7569444444445,706.8511627906977
726,25,45,8.0,17.0,20.0,33.0,505,53,24.5,24.36574074074074,703.9513888888889,706.9398148148148
630,21,69,14.0,16.0,27.0,30.0,1265,477,24.48611111111111,24.350230414746544,704.2291666666666,706.5852534562212
640,27,31,12.0,21.0,26.0,29.0,481,230,24.520833333333332,24.362385321100916,703.7986111111111,706.2798165137615
448,24,56,12.0,18.0,22.0,25.0,587,338,24.541666666666668,24.360730593607308,703.0833333333334,705.1004566210046
700,23,55,10.0,15.0,29.0,34.0,1296,459,24.5625,24.354545454545455,702.9375,705.0772727272728
582,26,31,6.0,18.0,28.0,26.0,408,146,24.555555555555557,24.361990950226243,701.6388888888889,704.5203619909503
656,26,55,7.0,24.0,28.0,33.0,1306,290,24.53472222222222,24.36936936936937,701.6597222222222,704.3018018018018
742,27,56,7.0,20.0,22.0,25.0,629,347,24.52777777777778,24.381165919282513,700.8333333333334,704.4708520179372
903,28,40,13.0,16.0,21.0,28.0,645,286,24.57638888888889,24.397321428571427,700.4097222222222,705.3571428571429
675,23,56,6.0,18.0,22.0,32.0,1272,307,24.54861111111111,24.391111111111112,699.0625,705.2222222222222
451,24,44,10.0,22.0,27.0,28.0,1086,284,24.569444444444443,24.38938053097345,696.2638888888889,704.0973451327434
538,28,67,13.0,16.0,26.0,32.0,1374,158,24.604166666666668,24.405286343612335,693.6527777777778,703.3656387665199
523,28,41,9.0,16.0,26.0,30.0,607,331,24.618055555555557,24.42105263157895,690.4236111111111,702.5745614035088
724,22,66,5.0,22.0,22.0,28.0,1222,108,24.59027777777778,24.41048034934498,691.6388888888889,702.6681222707424
807,26,53,7.0,24.0,21.0,33.0,1217,89,24.61111111111111,24.417391304347827,692.6388888888889,703.1217391304348
670,24,57,10.0,19.0,25.0,28.0,1276,46,24.625,24.415584415584416,693.9791666666666,702.978354978355
933,25,69,10.0,17.0,26.0,26.0,1430,386,24.59722222222222,24.41810344827586,697.1597222222222,703.9698275862069
574,25,68,5.0,15.0,29.0,28.0,498,438,24.61111111111111,24.4206008583691,696.0625,703.4120171673819
780,22,33,13.0,18.0,29.0,28.0,495,5,24.59027777777778,24.41025641025641,698.4027777777778,703.7393162393163
531,27,40,6.0,17.0,23.0,25.0,1473,201,24.61111111111111,24.42127659574468,695.6180555555555,703.0042553191489
840,25,30,6.0,19.0,29.0,32.0,813,77,24.625,24.423728813559322,694.9097222222222,703.5847457627119
608,22,62,5.0,15.0,24.0,27.0,562,337,24.61111111111111,24.41350210970464,692.5486111111111,703.1814345991561
966,26,67,8.0,15.0,22.0,25.0,1350,189,24.604166666666668,24.42016806722689,692.5277777777778,704.2857142857143
983,26,51,13.0,24.0,21.0,31.0,1030,6,24.59027777777778,24.426778242677823,693.0486111111111,705.4518828451883
908,24,57,13.0,18.0,26.0,31.0,1267,384,24.583333333333332,24.425,695.1180555555555,706.2958333333333
926,24,37,9.0,23.0,20.0,32.0,669,292,24.59722222222222,24.42323651452282,698.1041666666666,707.207468879668
543,21,67,9.0,18.0,22.0,32.0,1308,121,24.59027777777778,24.40909090909091,697.2291666666666,706.5289256198347
809,26,69,5.0,15.0,26.0,26.0,1405,404,24.569444444444443,24.415637860082306,700.0,706.9506172839506
905,29,39,14.0,19.0,23.0,27.0,586,58,24.569444444444443,24.434426229508198,701.5694444444445,707.7622950819672
956,20,67,8.0,19.0,27.0,33.0,828,1,24.53472222222222,24.416326530612245,704.375,708.7755102040817
437,27,69,12.0,15.0,25.0,30.0,1164,132,24.53472222222222,24.426829268292682,701.3263888888889,707.670731707317
